Source,Source_Lat,Source_Lon,Destination,Dest_Lat,Dest_Lon,Distance_Meters
22,23.0370556,72.5442367,23,23.0374453,72.5442065,43.44
23,23.0374453,72.5442065,20,23.0374897,72.5448888,69.99
23,23.0374453,72.5442065,24,23.0379081,72.5441552,51.73
24,23.0379081,72.5441552,23,23.0374453,72.5442065,51.73
24,23.0379081,72.5441552,43,23.0379353,72.5447141,57.27
24,23.0379081,72.5441552,28,23.0378692,72.5431088,107.16
24,23.0379081,72.5441552,25,23.0383669,72.5441177,51.16
25,23.0383669,72.5441177,18,23.0395887,72.5440463,136.05
25,23.0383669,72.5441177,45,23.0387914,72.5440801,47.36
25,23.0383669,72.5441177,24,23.0379081,72.5441552,51.16
25,23.0383669,72.5441177,27,23.0383104,72.5430656,107.84
26,23.0395717,72.5440543,17,23.0392144,72.5448801,93.37
26,23.0395717,72.5440543,42,23.0398957,72.5435085,66.46
26,23.0395717,72.5440543,45,23.0387914,72.5440801,86.81
27,23.0383104,72.5430656,25,23.0383669,72.5441177,107.84
27,23.0383104,72.5430656,46,23.0380929,72.543076,24.21
27,23.0383104,72.5430656,30,23.0382774,72.5427045,37.13
28,23.0378692,72.5431088,29,23.0378334,72.5427494,36.99
28,23.0378692,72.5431088,46,23.0380929,72.543076,25.1
28,23.0378692,72.5431088,24,23.0379081,72.5441552,107.16
29,23.0378334,72.5427494,28,23.0378692,72.5431088,36.99
29,23.0378334,72.5427494,30,23.0382774,72.5427045,49.58
30,23.0382774,72.5427045,29,23.0378334,72.5427494,49.58
30,23.0382774,72.5427045,27,23.0383104,72.5430656,37.13
30,23.0382774,72.5427045,47,23.0382453,72.5421962,52.13
31,23.0401502,72.5431367,32,23.0382083,72.5416004,267.09
31,23.0401502,72.5431367,42,23.0398957,72.5435085,47.42
32,23.0382083,72.5416004,31,23.0401502,72.5431367,267.09
32,23.0382083,72.5416004,33,23.0352331,72.5392408,409.57
32,23.0382083,72.5416004,47,23.0382453,72.5421962,61.1
33,23.0352331,72.5392408,32,23.0382083,72.5416004,409.57
33,23.0352331,72.5392408,34,23.0347703,72.5397477,73.07
34,23.0347703,72.5397477,33,23.0352331,72.5392408,73.07
34,23.0347703,72.5397477,35,23.0352553,72.5440952,448.13
35,23.0352553,72.5440952,34,23.0347703,72.5397477,448.13
39,23.0376421,72.5467714,14,23.0375379,72.5456056,119.85
39,23.0376421,72.5467714,4,23.0377113,72.5474624,71.13
40,23.0384752,72.5455362,15,23.0384882,72.545843,31.43
40,23.0384752,72.5455362,18,23.0395887,72.5440463,196.4
41,23.0384928,72.5474188,4,23.0377113,72.5474624,87.01
42,23.0398957,72.5435085,26,23.0395717,72.5440543,66.46
42,23.0398957,72.5435085,31,23.0401502,72.5431367,47.42
43,23.0379353,72.5447141,24,23.0379081,72.5441552,57.27
45,23.0387914,72.5440801,25,23.0383669,72.5441177,47.36
45,23.0387914,72.5440801,26,23.0395717,72.5440543,86.81
46,23.0380929,72.543076,28,23.0378692,72.5431088,25.1
46,23.0380929,72.543076,27,23.0383104,72.5430656,24.21
47,23.0382453,72.5421962,32,23.0382083,72.5416004,61.1
47,23.0382453,72.5421962,30,23.0382774,72.5427045,52.13
